"_type","additionalrooms","age","amenitiesavailable","amenitiesnot","area","balconies","bathroom","bhk","carpetarea","facing","floor","locality","neworold","opensides","overlooking","ownership","possesiondate","price","pricepersquare","projectname","roadfaceing","status","totalfloor"
"dict","","3 - 4 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","923 sq ft","","2","2 BHK Apartment ","","East","10, ","Wagholi","Resale","","Garden View","Freehold","","4800000","₹ 5,200/ sq ft ","Manav Silver Springs","","Ready to move,Unfurnished","11"
"dict","","2 - 3 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter","Sports Facility,Landscaped Gardens","1,087 sq ft","","2","2 BHK Apartment ","","East","5, ","Kharadi","Resale","","Pool View, Garden View","Freehold","","7500000","₹ 6,899/ sq ft ","Raviraj Ariiana","","Ready to move,Unfurnished","11"
"dict","1 rooms( servant room )","10 - 11 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,BED","AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","3,700 sq ft","3","4","4 BHK Villa ","","East","","Kharadi","Resale","","Pool View, Garden View","Freehold","","32000000","₹ 8,648/ sq ft ","Geras Greens Ville Sky Villas","","Ready to move,Unfurnished",""
"dict","","6 - 7 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,760 sq ft","","3","3 BHK Apartment ","","East","6","Hadapsar","Resale","","","Freehold","","13200000","₹ 7,500/ sq ft ","Marvel Marvel Azure","","Ready to move,Unfurnished",""
"dict","","5 - 6 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM,TV,Washing Machine,Gas connection,BED","Sports Facility,Landscaped Gardens,AC,Wardrobe,Refrigerator,Sofa,Wifi,Dining Table","1,806 sq ft","","3","3 BHK Apartment ","","North","1, ","Kalyani Nagar","Resale","","","Freehold","","18000000","₹ 9,966/ sq ft ","The Landmark Garden","","Ready to move,Semi-Furnished","7"
"dict","","","Lift Available,Car Parking,Power Backup,Club House,Gymnasium","24 X 7 Security,Children's play area,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","663 sq ft","1","2","2 BHK Apartment ","662 sq ft","","","Pashan Sus Road","New","","Road View","Freehold","","4032000","₹ 6,081/ sq ft ","","","Ready to move",""
"dict","","5 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,100 sq ft","1","2","2 BHK Apartment ","","East","1, ","Viman Nagar","Resale","","Garden View, Pool View, Road View","Co-Operative Society","","9450000","₹ 8,590/ sq ft ","Rohan Mithila","","Ready to move,Unfurnished","6"
"dict","","5 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Landscaped Gardens,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,750 sq ft","2","3","3 BHK Apartment ","","East","5, ","Mundhwa","Resale","","Road View","Freehold","","15500000","₹ 8,857/ sq ft ","Marvel Matrix","","Ready to move,Unfurnished","12"
"dict","1 rooms( servant room )","11 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,789 sq ft","3","3","3 BHK Apartment ","","East","4, ","Wadgaon Sheri","Resale","","Garden View, Pool View, Road View","Freehold","","17500000","₹ 9,782/ sq ft ","BramhaCorp Suncity","","Ready to move,Furnished","9"
"dict","","5 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Landscaped Gardens,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,520 sq ft","3","2","2 BHK Apartment ","","East","8, ","Mundhwa","Resale","","","Co-Operative Society","","16800000","₹ 11,052/ sq ft ","Marvel Matrix","","Ready to move,Semi-Furnished","11"
"dict","","10 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Landscaped Gardens,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,885 sq ft","2","3","3 BHK Apartment ","","East","7, ","Mundhwa","Resale","","Garden View","Freehold","","13500000","₹ 7,161/ sq ft ","Marvel Matrix","","Ready to move,Unfurnished","8"
"dict","","1 year","","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","914 sq ft","1","2","2 BHK Apartment ","750 sq ft","East","2, ","Narhe","Resale","2","Road View, Garden View","Leasehol","","4200000","₹ 4,595/ sq ft ","Builder Manasi Vishwas Nagar","164 feet","Ready to move,Unfurnished","11"
"dict","","2 - 3 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Gas connection","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","980 sq ft","2","2","2 BHK Apartment ","802 sq ft","East","4, ","Manjari","New","2","Road View","Freehold","","5800000","₹ 5,918/ sq ft ","Kalpataru Serenity","","Ready to move","13"
"dict","","2 - 3 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Wardrobe,Gas connection","Children's play area,Sports Facility,Landscaped Gardens,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","850 sq ft","1","2","2 BHK Apartment ","","East","5, ","Hadapsar","New","3","Garden View","","","6500000","₹ 7,647/ sq ft ","Amanora Trendy Homes","","Ready to move","9"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","700 sq ft","2","1","1 BHK Apartment ","450 sq ft","East","5, ","Hadapsar","New","2","","","May 2018","2900000","₹ 4,142/ sq ft ","","50 feet","Under Construction","10"
"dict","","0 - 1 year","Car Parking,24 X 7 Security","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","924 sq ft","1","2","2 BHK Apartment ","","North","7, ","Loni Raiway Station Road","Resale","3","Road View, Garden View","Co-Operative Society","","2150000","₹ 2,326/ sq ft ","Builder Samruddhi Palace Loni Kalbhor","18 feet","Ready to move,Unfurnished","7"
"dict","","10 - 11 years","","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","2,750 sq ft","2","5","5 BHK Villa ","","East","","Viman Nagar","Resale","","","Freehold","","22500000","₹ 8,181/ sq ft ","","","Ready to move,Unfurnished",""
"dict","","14 - 15 years","","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","950 sq ft","1","2","2 BHK Apartment ","","East","2, ","Boat Club Road","Resale","","","Freehold","","14000000","₹ 14,736/ sq ft ","","","Ready to move,Unfurnished","4"
"dict","","16 - 17 years","Lift Available,Car Parking,24 X 7 Security,Vaastu Compliant,Jogging Track","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","825 sq ft","","1","1 BHK Apartment ","","","4","Yerawada","Resale","","","Freehold","","3700000","₹ 4,485/ sq ft ","Builder Near Shaadal Baba Dargah","","Ready to move,Semi-Furnished",""
"dict","1 rooms( servant room )","8 - 9 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,050 sq ft","2","2","2 BHK Apartment ","1000 sq ft","East","12, ","Kalyani Nagar","Resale","1","Garden View, Pool View, Road View","Freehold","","9300000","₹ 8,857/ sq ft ","Kumar Kumar Kruti","","Ready to move,Unfurnished","12"
"dict","","11 - 12 years","Lift Available,Car Parking,24 X 7 Security,Vaastu Compliant","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","945 sq ft","","2","2 BHK Apartment ","","West","5","Kharadi","Resale","","","Freehold","","4000000","₹ 4,233/ sq ft ","","","Ready to move,Semi-Furnished",""
"dict","","21 - 22 years","Car Parking,24 X 7 Security,Vaastu Compliant,Jogging Track","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,320 sq ft","","3","3 BHK Apartment ","","NorthWest","2","Kalyani Nagar","Resale","","","Freehold","","8600000","₹ 6,515/ sq ft ","","","Ready to move,Unfurnished",""
"dict","","16 - 17 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Jogging Track","Children's play area,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","2,890 sq ft","","4","4 BHK Villa ","","","Gr","Viman Nagar","Resale","","","Freehold","","20000000","₹ 6,920/ sq ft ","Builder Lunkad Project","","Ready to move,Furnished",""
"dict","2 rooms( servant room, pooja room )","21 - 22 years","","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","6,000 sq ft","2","7","5 BHK Villa ","","East","","Boat Club Road","Resale","4","Road View, Garden View","Freehold","","97100000","₹ 16,183/ sq ft ","","","Ready to move,Unfurnished","1"
"dict","2 rooms( servant room, pooja room )","13 - 14 years","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,Wifi","900 sq ft","1","2","2 BHK Apartment ","750 sq ft","East","2, ","Kalyani Nagar","Resale","1","Road View, Garden View","Freehold","","7000000","₹ 7,777/ sq ft ","","","Ready to move,Furnished","5"
"dict","2 rooms( servant room, pooja room )","7 - 8 years","Wardrobe,TV,Sofa,Dining Table,Gas connection,BED","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Refrigerator,Wifi","600 sq ft","1","1","1 BHK Apartment ","","East","4, ","Kalyani Nagar","Resale","1","Garden View, Pool View, Road View","Co-Operative Society","","6500000","₹ 10,833/ sq ft ","","","Ready to move,Semi-Furnished","8"
"dict","","17 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Gymnasium,Swimming Pool,Jogging Track","Club House,Sports Facility,Landscaped Gardens","1,645 sq ft","1","3","3 BHK Villa ","","","","Viman Nagar","Resale","","","Freehold","","13000000","₹ 7,902/ sq ft ","Gulmohar Cottages","","Ready to move,Unfurnished",""
"dict","","10 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","3,000 sq ft","2","5","4 BHK Villa ","","West","2","Koregaon Park","Resale","","","Freehold","","50000000","₹ 16,666/ sq ft ","Ahura Valentina","","Ready to move,Unfurnished",""
"dict","1 rooms( servant room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,School","","2,068 sq ft","2","4","4 BHK Apartment ","1591 sq ft","East","11, ","Kharadi","Resale","","","Freehold","","19600000","₹ 9,477/ sq ft ","Kolte Patil Tuscan Estate Signature Meadows","","Ready to move,Unfurnished","23"
"dict","","10 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","1,215 sq ft","2","2","2 BHK Apartment ","","North","3, ","Koregaon Park","Resale","","","Freehold","","11000000","₹ 9,053/ sq ft ","Ahura Liberty 1","","Ready to move,Unfurnished","5"
"dict","","6 - 7 years","Lift Available,Car Parking,Power Backup,Children's play area,Vaastu Compliant,Swimming Pool,Indoor Games,Landscaped Gardens,School,Hospital,AC,Wardrobe,Sofa,Dining Table,BED","24 X 7 Security,Club House,Gymnasium,Sports Facility,Jogging Track,TV,Refrigerator,Wifi,Gas connection","1,450 sq ft","3","3","3 BHK Apartment ","","North","3, ","Boat Club Road","Resale","","","","","20000000","₹ 13,793/ sq ft ","","","Ready to move,Furnished","4"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Indoor Games,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens","Swimming Pool,Sports Facility,Jogging Track","1,015 sq ft","","2","2 BHK Apartment ","752 sq ft","East","9, ","Mundhwa","New","","","","May 2018","5400000","₹ 5,320/ sq ft ","PGD Pinnacle","","Under Construction","10"
"dict","","","Lift Available,Car Parking,24 X 7 Security,Landscaped Gardens","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,000 sq ft","","","2 BHK Apartment ","695 sq ft","","4, ","Mundhwa","New","","Road View","Freehold","Feb 2020","5600000","₹ 5,600/ sq ft ","","","Under Construction","10"
"dict","","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wifi,Gas connection","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED","1,220 sq ft","","2","2 BHK Apartment ","","East","4, ","Hinjewadi","Resale","3","Corner, Garden View, Pool View, Road View","Freehold","","5980000","₹ 4,901/ sq ft ","Kolte Patil Life Republic","120 feet","Ready to move,Semi-Furnished","25"
"dict","","11 years","Lift Available,Car Parking,Wardrobe,BED","Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,370 sq ft","2","2","3 BHK Apartment ","1052 sq ft","South","3, ","Kothrud","Resale","1","","Freehold","","11500000","₹ 8,394/ sq ft ","Mahajan Heights","10 feet","Ready to move,Furnished","4"
"dict","","","Children's play area,Club House,Gymnasium,Sports Facility,Indoor Games,Intercom,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Lift Available,Power Backup,24 X 7 Security,Swimming Pool,Jogging Track","715 sq ft","1","2","1 BHK Villa ","563 sq ft","East","","Bakori Road","New","2","Road View, Garden View","Co-Operative Society","Jun 2018","2200000","₹ 3,076/ sq ft ","Builder Pratham Villas","18 feet","Under Construction","2"
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wifi,Gas connection","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED","1,077 sq ft","1","2","2 BHK Apartment ","","North","2, ","Hinjewadi","New","4","Garden View, Pool View, Road View","Freehold","","5700000","₹ 5,292/ sq ft ","Kolte Patil Life Republic","328 feet","Ready to move","22"
"dict","","3 - 4 years","24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Multipurpose Room,Landscaped Gardens","Lift Available,Power Backup,Sports Facility","1,111 sq ft","","2","2 BHK Apartment ","","East","4","Koregaon Park","Resale","","","Freehold","","8800000","₹ 7,920/ sq ft ","Clover Park View","","Ready to move,Unfurnished",""
"dict","1 rooms( servant room )","5 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","4,355 sq ft","2","5","4 BHK Apartment ","","East","6, ","Hadapsar","Resale","","Pool View, Garden View","Co-Operative Society","","26000000","₹ 5,970/ sq ft ","Marvel Diva 1","","Ready to move,Semi-Furnished","11"
"dict","1 rooms( pooja room )","5 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","2,300 sq ft","2","3","3 BHK Apartment ","","East","9, ","Viman Nagar","Resale","","Pool View, Garden View","Freehold","","25500000","₹ 11,086/ sq ft ","Lunkad Sky Vie","","Ready to move,Furnished","10"
"dict","1 rooms( servant room )","10 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","4,200 sq ft","2","5","4 BHK Apartment ","","East","6, ","Hadapsar","Resale","","Pool View, Garden View","Freehold","","26500000","₹ 6,309/ sq ft ","Marvel Diva 1","","Ready to move,Semi-Furnished","12"
"dict","","5 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Landscaped Gardens,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,400 sq ft","2","2","3 BHK Apartment ","","East","3, ","Vishrantwadi","Resale","","Road View","Co-Operative Society","","11000000","₹ 7,857/ sq ft ","Nyati Corona","","Ready to move,Unfurnished","8"
"dict","1 rooms( pooja room )","7 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Landscaped Gardens,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,885 sq ft","2","3","3 BHK Apartment ","","East","2, ","Mundhwa","Resale","","Garden View","Co-Operative Society","","12500000","₹ 6,631/ sq ft ","Marvel Matrix","","Ready to move,Furnished","10"
"dict","","10 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Maintenance Staff,Intercom,Landscaped Gardens,BED","Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,800 sq ft","3","3","3 BHK Apartment ","","East","7, ","Vishrantwadi","Resale","","Garden View","Co-Operative Society","","12000000","₹ 6,666/ sq ft ","Nyati Corona","","Ready to move,Unfurnished","10"
"dict","","10 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,BED","AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","995 sq ft","1","2","2 BHK Apartment ","765 sq ft","East","9, ","Wadgaon Sheri","Resale","","Garden View","Co-Operative Society","","5400000","₹ 5,427/ sq ft ","Kumar Primavera","","Ready to move,Unfurnished","9"
"dict","","6 - 7 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Sofa,Dining Table","Sports Facility,AC,Wardrobe,TV,Refrigerator,Wifi,Gas connection,BED","1,410 sq ft","","3","3 BHK Apartment ","","East","3, ","Kharadi","Resale","","","Freehold","","8500000","₹ 6,028/ sq ft ","Kumar Primrose","","Ready to move,Unfurnished","7"
"dict","","6 - 7 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wardrobe,TV,Sofa,Dining Table,Gas connection,BED","Sports Facility,AC,Refrigerator,Wifi","1,050 sq ft","","2","2 BHK Apartment ","","East","7, ","Kalyani Nagar","Resale","","Road View, Garden View","Freehold","","9800000","₹ 9,333/ sq ft ","Raviraj Fortaleza","","Ready to move,Semi-Furnished","11"
